Código,País,Enero - Diciembre 1980,,Enero - Diciembre 1981,,Enero - Diciembre 1982,,Enero - Diciembre 1983,,Enero - Diciembre 1984,,Enero - Diciembre 1985,,Enero - Diciembre 1986,,Enero - Diciembre 1987,,Enero - Diciembre 1988,,Enero - Diciembre 1989,,Enero - Diciembre 1990,,Enero - Diciembre 1991,,Enero - Diciembre 1992,,Enero - Diciembre 1993,,Enero - Diciembre 1994,,Enero - Diciembre 1995,,Enero - Diciembre 1996,,Enero - Diciembre 1997,,Enero - Diciembre 1998,,Enero - Diciembre 1999,,Enero - Diciembre 2000,,,,,Enero - Diciembre 2001,,,,,Enero - Diciembre 2002,,,,,Enero - Diciembre 2003,,,,,Enero - Diciembre 2004,,,,,Enero - Diciembre 2005,,,,,Enero - Diciembre 2006,,,,,Enero - Diciembre 2007,,,,,Enero - Diciembre 2008,,,,,Enero - Diciembre 2009,,,,,Enero - Diciembre 2010,,,,,Enero - Diciembre 2011,,,,,Enero - Diciembre 2012,,,,,Enero - Diciembre 2013,,,,,Enero - Diciembre 2014,,,,,Enero - Diciembre 2015,,,,,Enero - Diciembre 2016,,,,,Enero - Diciembre 2017,,,,,Enero - Diciembre 2018,,,,,Enero-diciembre2019,,,,,Enero-diciembre2020,,,,,Enero-diciembre2021,,,,Enero - diciembre 2022,,,,Enero - diciembre 2023,,,,Enero - mayo 2024,,,
756,Sudáfrica,"16,956,180",,"13,293,132",,"13,811,637",,"10,275,825",,"10,432,847",,"8,991,831",,"13,369,430",,"12,141,381",,"16,240,808",,"24,763,201",,"13,204,565",,"26,313,178",,"21,878,109",,"35,534,275",,"65,379,778",,"31,234,077",,"50,632,562",,"21,022,398",,"33,999,004",,"19,699,055",,"29,675,419","61,497,016,039","26,493,990","75,239,169",,"26,606,275","61,102,469,544","23,208,381","81,615,842",,"39,711,309","100,305,619,656","35,681,700","59,782,893",,"49,288,551","144,441,902,961","45,883,085","50,247,414",,"53,428,076","141,080,485,649","47,424,088","68,148,729",,"42,012,201","97,393,497,922","38,974,140","9,481,407",,"36,656,854","87,198,227,150","34,079,535","9,450,562",,"39,014,372","80,868,744,695","36,351,944","12,915,224",,"46,450,791","96,780,941,040","43,735,086","6,115,851",,"27,936,063","60,226,399,021","25,413,268","5,331,945",,"35,511,356","67,400,843,404","32,656,267","8,264,070",,"47,940,841","88,400,512,243","44,972,644","11,721,092",,"43,668,568","78,408,729,352","41,098,634","13,887,507",,"46,698,589","86,985,118,125","43,731,748","18,267,856",,"41,714,917","82,732,294,480","38,804,847","15,288,581",,"36,685,062","99,163,724,114","33,944,347","10,475,028",,"29,534,084","88,936,045,453","27,234,487","18,395,025",,"34,010,276","100,289,999,327","31,016,781","60,284,815",,"26,610,092","77,910,122,686","24,630,337","13,250,756",,"32,662,008","107,685,907,523","28,609,360","59,535,729",,"19,403,613","72,333,567,833","17,182,192","29,038,263",,"39,848,932","150,557,282,515","36,546,214","20,065,963","51,326,584","213,889,631,521","44,653,853","37,878,733","39,340,005","173,841,147,201","35,423,935","30,583,584","15,522,007","60,432,019,384","14,514,057","6,105,816"
759,Sudan,"60,614",,"30,856",,"60,836",,"74,505",,"103,918",,"2,756",,"43,376",,"94,014",,"137,178",,"71,985",,"54,858",,"89,868",,"47,010",,"117,909",,"158,665",,"47,938",,"50,176",,"50,305",,"46,058",,"29,960",,"120,183","250,637,249","108,962","46,344",,"173,307","404,638,557","146,201","40,151",,"93,270","234,611,045","87,317","43,900",,0,"142,090,769","39,937","17,083",,"8,815","23,801,976","8,419","3,530",,"94,506","218,563,118","90,265","16,612",,"20,579","48,858,189","19,031","6,722",,"47,479","96,261,563","45,168","12,156",,"32,583","58,421,274","31,140","4,546",,"48,416","93,642,390","45,121","12,500",,"244,771","465,010,673","235,998","50,100",,"172,645","330,142,558","165,408","33,301",,"162,238","291,519,584","156,757","31,200",,"198,083","366,942,942","191,068","40,450",,"143,003","284,185,340","101,889","26,019",,"273,869","760,118,601","244,986","67,023",,"348,604","1,055,285,917","338,135","80,355",,"302,527","890,171,420","292,464","47,149",,"162,576","481,013,751","158,510","43,011",,"139,250","452,751,564","135,146","38,562",,"60,033","214,233,626","57,632","20,093",,"159,760","597,157,171","145,725","54,700","117,694","470,727,157","110,757","28,100","192,082","843,122,870","179,596","54,026","60,351","236,251,544","59,413","11,003"
760,Sudan del Sur,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,Suecia,"53,398,819",,"62,647,290",,"76,058,306",,"72,736,316",,"82,935,637",,"42,976,801",,"49,833,261",,"54,458,096",,"51,045,171",,"49,338,969",,"53,026,889",,"41,879,520",,"57,540,919",,"85,807,432",,"159,291,687",,"175,219,082",,"150,842,953",,"194,438,960",,"164,650,150",,"96,883,310",,"89,034,739","188,280,423,139","80,458,515","117,830,628",,"130,624,930","299,322,919,318","119,545,782","157,616,924",,"63,278,640","156,994,539,183","55,540,428","86,880,530",,"65,022,638","225,717,709,610","69,148,194","127,694,200",,"88,747,570","234,325,776,118","78,997,309","92,848,629",,"108,436,565","251,954,299,549","99,066,292","64,578,245",,"136,942,207","320,222,419,386","121,973,724","142,310,109",,"137,090,555","285,066,927,057","126,214,014","73,385,530",,"170,212,579","336,127,340,370","156,058,216","91,500,135",,"126,040,850","269,990,151,943","114,819,758","71,300,752",,"151,040,194","286,841,172,265","134,659,446","104,370,325",,"262,545,468","486,010,826,568","245,929,777","83,847,996",,"195,634,278","351,730,784,759","182,694,228","63,634,431",,"167,510,763","313,314,776,423","158,391,546","41,962,187",,"155,966,957","310,140,343,028","146,593,720","46,458,555",,"141,959,359","386,006,784,184","135,921,766","23,083,224",,"131,902,609","405,217,381,463","125,575,409","32,235,553",,"151,736,278","447,391,233,582","143,793,817","48,876,471",,"151,949,719","447,952,741,677","144,459,380","45,044,263",,"149,355,448","489,983,068,746","141,657,501","46,882,328",,"177,941,599","655,947,713,654","168,340,516","58,905,599",,"188,159,278","706,053,019,379","177,466,075","49,601,779","227,459,436","975,527,097,715","209,752,084","61,276,667","278,251,718","1,201,452,906,903","258,216,278","80,230,778","104,580,752","405,546,592,937","98,924,018","28,377,607"
767,Suiza,"68,094,584",,"76,574,156",,"80,532,559",,"72,378,424",,"61,438,096",,"61,991,594",,"67,078,471",,"81,974,664",,"86,415,834",,"87,609,858",,"112,322,802",,"126,672,456",,"128,264,909",,"161,661,639",,"173,460,248",,"195,268,904",,"190,359,599",,"225,328,186",,"184,724,556",,"136,506,519",,"129,113,768","268,450,907,016","124,779,447","5,452,297",,"156,280,712","359,170,178,723","151,676,478","6,999,232",,"146,528,611","363,567,847,518","142,478,273","6,790,628",,"117,904,985","548,652,355,815","185,483,828","9,355,053",,"216,827,092","565,004,684,676","212,084,842","8,121,356",,"208,034,551","482,645,786,478","202,523,619","9,125,049",,"247,193,123","584,004,819,348","239,955,444","11,396,867",,"339,013,256","706,428,767,027","330,616,064","12,331,190",,"381,350,910","742,095,650,445","369,995,633","34,530,659",,"373,669,136","801,731,968,622","364,013,091","32,760,622",,"409,670,537","777,000,284,037","398,930,304","35,611,134",,"460,582,603","851,754,364,144","449,484,581","20,371,428",,"512,524,421","923,244,596,229","501,700,964","17,063,921",,"506,708,251","944,500,919,635","496,229,043","8,805,071",,"517,188,498","1,029,483,028,362","506,074,802","14,865,863",,"430,606,509","1,172,371,127,191","421,874,563","7,758,993",,"384,614,266","1,177,176,692,519","376,345,439","16,448,398",,"410,757,039","1,212,158,645,336","402,000,192","54,836,807",,"459,526,358","1,345,016,659,485","449,150,394","61,275,070",,"446,925,790","1,464,741,600,037","437,958,396","14,529,448",,"379,171,283","1,391,812,039,438","370,008,547","21,042,585",,"420,799,110","1,570,827,407,704","408,736,572","12,201,748","398,163,219","1,690,888,893,095","384,213,430","11,235,010","447,154,430","1,931,541,720,115","435,263,724","14,042,095","204,938,050","798,517,815,781","200,621,582","3,681,064"
770,Surinam,0,,"101,704",,"87,570",,"411,398",,"201,166",,"22,758",,0,,0,,0,,0,,0,,0,,"109,037",,"159,648",,0,,"126,528",,"51,674",,0,,0,,0,,0,0,0,0,,"16,237","37,400,468","15,901","1,971",,"1,669","4,715,460","1,509",18,,0,"82,350,821","16,772","465,880",,"2,784","7,341,757","2,670",6,,"3,368","7,707,137","1,660","8,880",,"792,733","1,911,519,566","626,208","2,697,036",,"68,804","151,232,703","61,614","48,780",,"63,205","136,943,525","59,879","22,496",,"3,122","7,028,714","1,311","4,468",,950,"1,746,801",909,55,,"136,099","242,399,942","123,876","37,033",,"1,269,650","2,276,551,910","1,130,039","2,683,427",,"457,275","875,442,337","420,834","210,447",,"436,688","850,441,474","389,625","250,456",,"297,936","845,364,281","262,634","434,309",,"173,955","524,619,446","148,371","472,133",,"42,090","123,329,597","39,699","8,740",,"83,317","244,390,830","74,991","47,891",,"200,006","634,731,393","196,253","2,553",,"24,729","91,825,452","18,100","105,314",,"311,867","1,131,416,318","295,323","75,349","359,305","1,477,077,738","332,596","78,215","1,849,308","8,149,957,285","1,734,671","188,461","773,422","3,005,756,908","739,207","357,189"
772,"Svalbard y Jan Mayen, Islas",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,Swazilandia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"4,559",,0,,"54,664",,"253,910",,0,,0,,0,,0,,711,,"1,012","2,115,128",929,98,,"3,867","9,125,308","3,645","2,000",,"1,265","3,446,763","1,153",15,,0,"11,538,148","3,939",36,,"10,697","28,712,590","10,485",60,,"160,271","374,280,772","151,511","1,786",,"132,880","303,102,560","123,111","18,158",,"87,463","188,997,028","82,409","2,770",,"36,589","68,409,633","35,237",484,,"487,895","988,953,573","484,527","3,055",,"1,046,990","2,037,327,362","1,034,494","7,850",,"154,733","292,127,192","145,380","12,962",,"138,652","247,950,571","132,102","3,255",,"286,216","531,195,713","273,271","24,469",,"149,091","289,618,937","144,530","1,096",,"94,829","292,342,817","92,548","1,772",,"124,088","376,699,808","119,142","17,794",,"82,344","241,551,640","81,845",93,,"59,219","175,954,044","57,309",219,,"15,218","48,999,618","14,013",266,,"64,814","246,013,903","63,257","1,002",,"18,078","70,382,197","17,624",63,"25,202","100,732,442","23,854",411,"57,089","233,131,938","55,908",151,"13,782","54,009,757","13,307",95
774,Tayikistán,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"8,501",,0,,"30,920",,0,,"4,391",,278,"614,152",273,4,,0,0,0,0,,825,"1,900,223",311,81,,"34,581",0,0,0,,0,0,0,0,,0,0,0,0,,"1,108","2,501,092","1,055",39,,0,0,0,0,,464,"965,449",448,60,,0,0,0,0,,0,0,0,0,,0,0,0,0,,307,"562,256",290,9,,8,"15,761",0,0,,134,"258,172",118,3,,0,0,0,0,,"4,333","14,566,091","4,271",16,,447,"1,315,480",400,"1,328",,"1,118","3,116,631","1,034",81,,"1,252","4,293,565","1,062",34,,"3,633","12,757,711","2,894",118,,682,"2,457,123",494,21,0,0,0,0,0,0,0,0,"4,205","16,396,233","3,705",135
776,Tailandia,"23,182",,"23,307",,"4,513",,"4,520",,"22,926",,"12,709",,"287,194",,"622,259",,"6,926,075",,"128,679",,"731,297",,"3,225,020",,"10,209,228",,"8,297,200",,"12,912,438",,"16,153,007",,"18,795,508",,"21,988,169",,"25,157,798",,"26,073,029",,"33,658,055","70,736,453,350","30,464,298","9,532,415",,"53,551,216","123,450,611,329","48,001,905","58,540,868",,"52,699,483","132,667,488,139","48,017,517","16,549,181",,"48,772,433","154,766,077,544","49,331,918","19,757,539",,"81,742,851","215,363,579,787","73,477,904","67,835,629",,"89,839,793","208,654,612,079","80,596,490","23,200,309",,"128,848,466","303,436,360,536","117,212,642","35,804,663",,"203,550,207","421,743,445,903","183,347,681","42,050,860",,"296,403,115","588,120,378,095","266,543,974","52,472,375",,"227,813,734","486,605,304,683","207,522,721","43,392,344",,"396,136,359","747,466,506,461","355,807,172","51,760,772",,"417,923,756","771,553,643,370","380,299,944","56,993,534",,"337,236,650","604,459,630,749","313,178,010","49,829,815",,"309,199,942","576,073,132,246","288,474,445","49,184,999",,"343,642,088","684,159,609,112","322,673,696","63,407,807",,"297,482,679","810,699,998,766","280,319,842","55,075,514",,"291,248,174","884,530,543,307","276,905,852","61,315,110",,"294,847,189","870,753,270,038","277,727,436","65,500,378",,"322,036,991","949,065,592,266","305,334,088","66,805,808",,"298,342,248","977,886,288,520","283,852,940","69,518,528",,"248,531,284","908,154,840,147","235,903,872","54,206,958",,"373,073,778","1,395,414,619,930","336,385,632","72,248,587","476,975,839","2,016,210,891,373","420,996,433","75,134,053","323,897,141","1,415,239,948,625","302,572,301","68,120,525","167,081,253","649,389,460,282","156,931,921","41,146,814"
780,"Tanzania, República Unida de","2,307",,0,,0,,"9,931",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"44,016",,"64,220",,"17,502",,"232,041",,"140,189",,"14,703","28,766,928","12,355","9,130",,"182,745","421,763,579","160,881","107,650",,"101,735","232,472,201","86,525","62,651",,0,"141,077,045","41,274","46,259",,"3,809","10,291,626","3,183","6,039",,"42,463","97,531,476","38,002","29,778",,"48,290","109,827,719","40,772","23,058",,"137,273","286,235,115","126,957","55,164",,"699,429","1,404,501,866","655,916","269,184",,"51,297","118,745,458","44,054","24,396",,"334,414","639,000,485","316,114","122,608",,309,"591,202",284,1,,"162,840","292,913,106","150,300","25,969",,"453,147","854,706,617","419,463","92,065",,"9,905,274","18,756,787,520","9,299,724","1,209,485",,"431,656","1,233,474,181","399,744","281,741",,"663,195","2,037,290,672","627,933","326,122",,"171,512","497,348,118","153,154","27,897",,"298,089","865,382,242","284,158","47,995",,"15,943","54,851,490","14,829","3,071",,"834,702","3,122,845,023","794,128","184,985",,"227,872","813,785,737","220,084","50,592","1,025,423","4,052,105,776","991,013","122,835","444,225","1,967,430,138","418,998","75,082","299,781","1,174,577,121","280,363","44,594"
783,Djibouti,0,,0,,0,,0,,0,,0,,0,,0,,"12,965",,0,,0,,0,,"36,550",,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,"76,591","174,123,995","74,848",229,,0,"9,435,381","3,044",207,,"298,328","771,212,549","291,738","29,230",,"623,594","1,448,958,569","604,681","52,268",,"228,131","529,963,408","218,542","67,103",,"167,074","340,368,918","163,405","10,973",,"118,326","231,746,831","115,599","6,965",,"728,692","1,453,545,679","708,503","38,349",,"191,677","371,577,669","188,356","4,059",,98,"189,041",66,14,,0,0,0,0,,0,0,0,0,,0,0,0,0,,"10,874","32,253,589","8,000","2,430",,"12,173","35,652,032","12,000",481,,0,0,0,0,,"15,031","46,361,232","14,750",760,,54,"182,464",48,1,,52,"172,443",29,1,,0,0,0,0,0,0,0,0,48,"190,322",19,1,"116,407","447,365,905","113,283",31
785,Territorio Palestino Ocupado,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,Antartida,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,259,"799,559",229,6,,317,"994,188",310,1,,335,"1,335,995",335,0,,130,"484,726",60,0,0,0,0,0,0,0,0,0,0,0,0,0
787,Territorio Británico del Océano indico,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"179,300",,"2,026",,"45,252",,"268,359",,"36,109",,"34,730",,"38,182",,"5,247",,"321,954",,228,,"9,997","21,516,642","9,747",919,,"21,942","49,531,329","21,319",392,,"6,449","17,378,976","5,715",684,,480,"77,735,125","25,437","2,291",,"46,332","123,622,045","44,422","8,104",,0,0,0,0,,0,0,0,0,,"9,955","19,421,341","7,041",272,,0,0,0,0,,"8,072","16,323,454","7,536",133,,0,0,0,0,,"18,209","34,262,082","17,310","1,557",,0,0,0,0,,0,0,0,0,,0,0,0,0,,180,"524,731",179,5,,0,0,0,0,,0,0,0,0,,"8,428","25,195,014","5,774","2,867",,397,"1,222,715",339,43,,0,0,0,0,,0,0,0,0,"27,424","124,287,850","27,206",32,0,0,0,0,0,0,0,0
788,Timor del Este,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,71,"137,161",62,2,,0,0,0,0,,"4,459","7,871,000","4,414",25,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,660,"1,899,745",622,15,,0,0,0,0,,0,0,0,0,,0,0,0,0,63,"248,356",58,1,58,"275,562",56,1,0,0,0,0
800,Togo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,646",,0,,"9,607",,0,,0,,"96,054",,"10,809,199","22,574,650,233","9,850,473","8,303,275",,"6,335,383","14,521,826,591","5,774,691","4,859,199",,"86,692","207,901,008","75,315","100,001",,"414,001","1,179,999,474","225,304","7,510,145",,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,"1,029,622","1,821,875,634","1,009,100","269,955",,141,"251,636",135,1,,"1,180","2,236,150","1,147",363,,0,0,0,0,,"2,724,853","7,112,084,031","2,360,312","16,505,677",,0,0,0,0,,0,0,0,0,,"2,746,658","7,832,754,011","2,133,598","16,539,519",,0,0,0,0,,395,"1,386,782",383,18,,0,0,0,0,"14,456,999","54,352,295,874","13,803,537","13,494,978","23,343","94,777,071","22,544","8,061","3,005","11,840,670","2,921",241
805,Tokelau,0,,0,,0,,0,,"20,865",,0,,0,,0,,0,,0,,"29,827",,"8,269",,0,,"3,771",,"1,797",,"1,591",,"1,099",,574,,0,,0,,"5,705","11,116,718","5,244","2,369",,0,0,0,0,,"36,430","81,895,017","35,125","5,880",,0,"2,148,848",450,32,,0,0,0,0,,"1,404","3,205,845","1,356",15,,330,"761,405",107,4,,0,0,0,0,,"2,160","4,121,215","1,971","4,342",,"16,682","35,227,607","15,370","3,114",,"100,285","198,022,361","94,590","35,092",,"14,469","26,343,379","12,630",858,,"35,842","64,654,537","33,747","2,532",,"68,136","129,032,758","61,221","9,323",,"60,854","123,491,329","33,863","3,904",,"154,887","393,193,392","129,829","219,080",,"97,162","287,251,200","90,090","56,856",,"92,817","273,618,948","87,978","6,791",,"353,405","1,029,437,439","327,941","135,349",,"100,927","332,262,628","92,917","10,073",,"27,600","99,071,532","22,448","1,309",,"121,930","448,665,775","110,802","15,555","519,843","2,156,285,242","447,727","95,814","217,335","950,707,650","188,736","34,134","150,912","583,082,935","144,734","30,296"
810,Tonga,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"19,701",,"16,390",,0,,"3,213",,"187,271",,"342,074",,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,"3,222","6,261,886","2,553",14,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,67,"237,823",66,0,0,0,0,0,"4,121","19,874,273","4,022",67,0,0,0,0
815,Trinidad y Tobago,"1,241,277",,"3,544,844",,"13,116,027",,"1,599,425",,"573,835",,"5,298,179",,"51,787",,"3,236,030",,"12,253,702",,"1,317,819",,"3,373,562",,"23,292,302",,"31,011,050",,"37,618,622",,"47,351,690",,"51,697,356",,"49,889,034",,"40,463,382",,"26,066,664",,"20,161,645",,"25,371,029","53,246,473,702","21,284,563","138,771,781",,"33,934,135","77,412,847,991","30,259,803","154,904,869",,"24,688,419","63,427,225,066","21,349,208","106,416,854",,"33,163,277","96,392,083,199","28,817,504","114,310,940",,"38,951,550","102,343,201,005","33,948,495","115,804,825",,"177,223,130","409,101,504,967","166,783,116","480,362,161",,"93,428,204","218,855,984,119","83,077,359","258,860,157",,"309,772,836","625,338,410,081","297,317,593","632,460,100",,"298,687,800","606,082,053,645","277,322,156","376,568,450",,"176,342,564","374,327,702,313","160,141,865","386,035,771",,"374,373,080","705,377,596,032","352,661,355","657,422,020",,"584,021,102","1,078,725,043,490","560,775,061","750,516,738",,"506,804,560","921,633,925,240","483,305,016","695,303,314",,"446,923,986","827,589,807,590","424,602,026","614,912,117",,"457,816,990","901,225,412,760","437,716,436","601,931,861",,"246,123,707","662,129,305,905","227,020,650","509,317,233",,"120,202,792","374,692,002,871","103,689,613","352,525,460",,"75,206,513","222,476,774,898","62,308,297","225,485,877",,"119,177,542","354,936,364,787","108,328,167","300,111,572",,"115,991,348","379,437,846,956","101,138,564","343,311,827",,"112,064,724","412,211,516,889","95,176,522","400,480,310",,"269,051,352","1,014,398,795,387","250,903,587","526,296,319","252,714,719","1,029,862,700,424","242,842,016","302,631,528","98,147,312","434,983,570,404","89,536,477","165,396,734","41,125,296","160,733,520,203","37,041,142","83,516,322"
820,Túnez,"29,758",,"15,094",,0,,0,,"404,752",,0,,0,,0,,0,,0,,0,,0,,0,,"138,677",,"224,120",,"188,421",,"1,485,467",,"229,859",,"252,781",,"124,459",,"75,863","161,792,801","70,533","38,498",,"304,680","701,811,569","288,467","142,462",,"153,592","353,394,180","147,257","53,193",,"154,018","674,278,749","209,470","100,006",,"475,758","1,240,847,189","459,438","39,911",,"316,718","730,649,473","292,748","39,675",,"471,034","1,096,135,841","442,686","90,127",,"582,273","1,173,974,209","551,923","40,934",,"900,993","1,746,808,638","832,925","68,105",,"3,064,741","6,564,668,525","2,908,123","1,017,702",,"5,787,588","10,967,393,045","5,540,576","1,738,950",,"4,697,045","8,658,582,424","4,534,809","266,237",,"8,573,859","15,382,513,712","8,175,492","1,619,434",,"7,041,196","13,201,420,269","6,809,936","1,838,767",,"5,548,254","11,001,907,813","5,293,117","1,970,884",,"4,068,204","10,830,954,705","3,917,775","1,162,147",,"4,309,494","12,940,080,682","4,037,862","1,127,320",,"4,820,364","14,268,858,863","4,581,283","3,695,945",,"5,382,444","16,361,989,836","4,416,471","37,582,371",,"4,831,104","15,874,245,616","4,555,055","2,955,284",,"4,096,352","14,933,526,979","3,869,213","2,154,657",,"6,719,572","25,286,911,398","6,431,742","2,005,103","10,836,951","46,236,379,848","10,379,003","3,351,176","6,951,523","30,172,157,655","6,571,315","2,359,628","2,026,013","7,880,960,345","1,956,851","316,951"
823,"Turcas y Caicos, Islas","8,738",,"5,889",,"1,638,392",,"30,391",,"1,080",,"1,570",,0,,0,,"25,009",,"36,535",,0,,0,,"30,459",,0,,"2,198",,"1,789",,"9,072",,"28,309",,940,,0,,"6,625","13,809,061","4,472","3,678",,"4,892","11,495,955","4,696",45,,854,"2,028,207",780,23,,448,0,0,0,,0,0,0,0,,0,0,0,0,,"78,134","200,359,529","69,829","60,754",,30,"65,428",28,7,,204,"409,164",186,11,,128,"282,462",120,63,,"5,846","11,122,806","5,678",56,,"3,404","6,483,301","3,283",14,,47,"83,943",46,1,,0,0,0,0,,335,"618,800",327,12,,0,0,0,0,,"28,224","93,415,419","14,021","2,778",,564,"1,706,467",504,33,,"219,405","638,156,891","164,112","1,200,055",,"249,259","782,607,634","194,307","1,400,167",,0,0,0,0,,0,0,0,0,"392,898","1,579,500,667","305,997","1,494,076",0,0,0,0,0,0,0,0
825,Turkmenistán,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"37,123",,"25,725",,"18,794",,"836,284",,527,,"8,151",,"2,560",,"8,861","19,307,878","8,171","7,031",,60,"139,054",56,3,,269,"626,581",254,9,,0,"1,405,086",467,15,,"1,951","5,052,138","1,851",173,,9,"21,139",9,0,,0,0,0,0,,0,0,0,0,,"9,309","21,385,143","8,179",306,,"64,902","133,946,689","59,923","1,868",,"88,924","168,500,215","85,809","1,837",,"48,228","89,486,601","46,188",895,,"6,985","12,605,724","6,580",128,,"63,800","119,925,483","59,208","1,984",,"126,353","245,313,230","115,816","5,075",,"56,611","144,106,354","52,156","2,873",,"20,775","64,793,443","19,056","1,076",,"4,118","11,877,295","3,528",118,,"2,256","6,588,132","2,241",10,,89,"276,550",88,2,,"1,834","6,784,944","1,593",19,,"12,814","48,338,688","12,156","1,132","8,514,204","37,204,961,926","7,763,263","8,710,354","21,094","98,800,523","19,211","4,499",0,0,0,0
